"filename", "language", "Python", "Django txt", "Django HTML", "Markdown", "comment", "blank", "total"
"/home/aryan/Documents/online-quiz-maker(quizooo)/README.md", "Markdown", 0, 0, 0, 27, 0, 9, 36
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/manage.py", "Python", 15, 0, 0, 0, 3, 5, 23
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/admin.py", "Python", 5, 0, 0, 0, 1, 1, 7
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/apps.py", "Python", 3, 0, 0, 0, 0, 3, 6
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/forms.py", "Python", 16, 0, 0, 0, 0, 3, 19
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/migrations/0001_initial.py", "Python", 58, 0, 0, 0, 1, 7, 66
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/migrations/0002_auto_20200926_1626.py", "Python", 25, 0, 0, 0, 1, 6, 32
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/migrations/0003_auto_20200926_1634.py", "Python", 13, 0, 0, 0, 1, 6, 20
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/migrations/0004_auto_20200926_1645.py", "Python", 12, 0, 0, 0, 1, 6, 19
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/migrations/0005_auto_20200926_2046.py", "Python", 15, 0, 0, 0, 1, 6, 22
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/migrations/0006_auto_20200929_1205.py", "Python", 15, 0, 0, 0, 1, 6, 22
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/migrations/0007_auto_20201001_1847.py", "Python", 57, 0, 0, 0, 1, 6, 64
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/migrations/0008_quiz_record_responses.py", "Python", 12, 0, 0, 0, 1, 6, 19
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/migrations/0009_auto_20201001_1945.py", "Python", 17, 0, 0, 0, 1, 6, 24
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/models.py", "Python", 38, 0, 0, 0, 5, 14, 57
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/templates/account/login.html", "Django HTML", 0, 0, 6, 0, 0, 0, 6
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/templates/base.html", "Django HTML", 0, 0, 92, 0, 0, 8, 100
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/templates/completed_quiz.html", "Django HTML", 0, 0, 22, 0, 0, 2, 24
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/templates/create_quiz.html", "Django HTML", 0, 0, 24, 0, 0, 0, 24
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/templates/edit_quiz.html", "Django HTML", 0, 0, 243, 0, 0, 26, 269
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/templates/end_quiz.html", "Django HTML", 0, 0, 27, 0, 0, 1, 28
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/templates/give_quiz.html", "Django HTML", 0, 0, 41, 0, 0, 2, 43
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/templates/navbar.html", "Django HTML", 0, 0, 23, 0, 0, 0, 23
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/templates/question_view.html", "Django HTML", 0, 0, 130, 0, 0, 3, 133
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/templates/quiz_results.html", "Django HTML", 0, 0, 47, 0, 0, 2, 49
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/templates/settings.html", "Django HTML", 0, 0, 225, 0, 0, 8, 233
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/templates/show_quiz.html", "Django HTML", 0, 0, 33, 0, 0, 3, 36
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/templates/start-quiz.html", "Django HTML", 0, 0, 73, 0, 0, 4, 77
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizer/views.py", "Python", 262, 0, 0, 0, 21, 53, 336
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizoo/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizoo/asgi.py", "Python", 4, 0, 0, 0, 8, 5, 17
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizoo/settings.py", "Python", 87, 0, 0, 0, 28, 30, 145
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizoo/urls.py", "Python", 21, 0, 0, 0, 15, 2, 38
"/home/aryan/Documents/online-quiz-maker(quizooo)/quizoo/quizoo/wsgi.py", "Python", 4, 0, 0, 0, 8, 5, 17
"/home/aryan/Documents/online-quiz-maker(quizooo)/req.txt", "Django txt", 0, 14, 0, 0, 0, 1, 15
"Total", "-", 680, 14, 986, 27, 99, 250, 2056
